time,tk_gps_data_value,tk_gps_time_value,tk_airquality_iaqindex_value,tk_airquality_temperature_value,tk_airquality_humidity_value,tk_airquality_airpressure_value,tk_soundpressurelevel_spl_value,tk_humidity_humidity_value,tk_analogin_voltage_value,tk_particulatematter_pm1_0_value,tk_particulatematter_pm2_5_value,tk_particulatematter_pm10_0_value,tk_dual0_20ma_solarlight_value,tk_thermocouple_temperature_value,tk_ptc_airtemp_value,atmos_northwind_value,atmos_eastwind_value,atmos_gustwind_value,atmos_airtemperature_value,atmos_xorientation_value,atmos_yorientation_value,atmos_nullvalue_value,accelerometer_orientation_x,accelerometer_orientation_y,accelerometer_orientation_z,accelerometer_gyroscope_x,accelerometer_gyroscope_y,accelerometer_gyroscope_z,accelerometer_linearaccl_x,accelerometer_linearaccl_y,accelerometer_linearaccl_z,accelerometer_magnetometer_x,accelerometer_magnetometer_y,accelerometer_magnetometer_z,accelerometer_accl_x,accelerometer_accl_y,accelerometer_accl_z,accelerometer_gravity_x,accelerometer_gravity_y,accelerometer_gravity_z,empatica_e4_gsr,empatica_e4_hr,empatica_e4_ibi,x,y,z
2024-05-02 13:21:05,60180.0,2300169.0,204.0,2044.0,4889.0,101735.0,694.5154639175257,6574.183673469388,13.363636363636363,0.0,0.0,1.0,4767278.828282828,0.0,1927.4242424242425,2.165,-0.885,2.475,16.9,3.3500001,3.5,0.0,203.19,357.06,279.06,-0.008200001062400004,-0.0692000003516,0.013799999336400002,1.1524000091720001,0.30619999053999997,0.53159999584,0.9129999862879999,-36.979799802,2.17780000388,0.669599996398,9.975200008,2.077799993092,-0.50160000028,9.6577999308,1.53540000632,0.0201822075,,,-9.170789747,38.707884606,91243.7
2024-05-02 13:21:06,60180.0,2301169.0,204.0,2044.0,4889.0,101735.0,721.6039603960396,6580.176470588235,13.316831683168317,0.0,0.0,1.0,5001921.19,0.0,1924.7058823529412,2.28,-1.425,2.69,16.95,3.3000002,11.25,0.0,211.02,357.69,278.44,0.064399999042,-0.09099999794000001,-0.019199999508399998,1.0115999990212001,0.06160000983999999,0.22880001198799998,5.07480001452,-35.819200062,1.82860001652,0.6050000017156,9.7145999734,1.6296000052100001,-0.39659999784,9.6839999202,1.42060000508,0.0189007975,,,-9.170792373,38.707875864,91249.6
2024-05-02 13:21:07,60180.0,2302169.0,204.0,2034.0,4922.0,101738.0,758.0104166666666,6583.0,429.5773195876289,0.061855670103092786,0.061855670103092786,1.0618556701030928,5008025.714285715,0.0,1921.659793814433,1.39,-0.05,1.39,16.9,-14.4,-2.4,0.0,213.6,357.49,278.13,-0.1076000000336,-0.091199998818,-0.014400000611600001,0.844400000482,-0.39080000016000005,-0.05300000661399999,7.6038000104000005,-35.128800286,2.77840001882,0.4294000058844,9.318399967200001,1.349000001858,-0.42939999813999996,9.6869998932,1.38240000144,0.019221152499999998,,,-9.17079673,38.707866159,91256.8
2024-05-02 13:21:08,60180.0,2303169.0,204.0,2034.0,4922.0,101738.0,706.08,6585.174757281553,13.495145631067961,1.0,1.0,2.0,4958849.382352941,0.0,1919.3203883495146,1.56,-0.27499998,1.595,16.9,-13.8,-13.049999,0.0,216.2,356.54,277.86,0.08720000003959999,-0.039799999834,-0.0493999993552,0.6540000085004,0.47820000244,1.0763999982844,8.5969999866,-34.938600707999996,2.35000000466,0.05280000038600001,10.1616000734,2.40280000334,-0.59599999904,9.6867999462,1.32280000136,0.017299034999999997,,,-9.170798368,38.707857539,91498.1
2024-05-02 13:21:09,60180.0,2304169.0,204.0,2034.0,4922.0,101738.0,702.1111111111111,6591.48,13.23,1.0,1.0,1.6732673267326732,4744702.445544555,0.0,1917.8,0.995,-0.70500004,1.2249999,16.9,4.55,9.8,0.0,213.89,356.81,279.58,-0.0447999999764,0.09660000010240001,0.04100000051720001,0.7725999972600001,-0.11580000164440002,0.45220000050000003,8.7204000268,-35.413400434,2.7812000419000005,0.22180000032879998,9.5256000136,2.06839999108,-0.54019999858,9.6488001242,1.6252000032,0.0176193875,,,-9.170797969,38.707847726,91753.3
2024-05-02 13:21:10,60180.0,2305169.0,206.0,2029.0,4922.0,101739.0,611.3092783505155,6596.65306122449,12.5,1.0,1.0,1.0,4743642.9387755105,0.0,1915.6938775510205,1.11,-0.275,1.14,16.9,2.0500002,1.55,0.0,211.21,359.58,279.72,0.017599999762800002,-0.038400000902400006,-0.008399999822399999,0.274400000556,0.0323999999224,0.059399999618,8.630199985,-35.508600084,3.7212000254000004,0.201199998548,9.694399967399999,1.7081999996,-0.0705999998584,9.658999903,1.6458000022,0.0169786875,75.319585,0.79691195,-9.170797479,38.707838941,91949.2
2024-05-02 13:21:11,60180.0,2306068.0,206.0,2029.0,4922.0,101739.0,602.0103092783505,6599.744897959184,12.846938775510203,1.0,1.0,1.0,4743359.762886598,0.0,1913.6666666666667,1.04,-0.41500002,1.125,17.0,3.6999998,2.8,0.0,210.2,0.17,279.82,-0.006599999854,0.011800000107199999,-0.0025999999524,0.127599999094,0.022999999926000003,0.047600000229199996,8.7862001036,-35.822800068,4.1656000424,0.16200000006,9.6835999686,1.7136000000000002,0.028799999344,9.6587998224,1.6635999808,0.016658332499999998,69.81495,0.8594148,-9.170795771,38.707829733,92139.4
2024-05-02 13:21:12,60180.0,2307068.0,206.0,2029.0,4922.0,101739.0,622.8969072164948,6107.775510204082,13.03061224489796,1.0,1.0,1.0,4741962.636363637,0.0,1911.8673469387754,0.99,-0.38,1.06,17.0,3.8,2.9,0.0,210.07,0.11,280.79,-0.023999999458,0.0129999997156,0.0023999999472,0.12139999955,0.012599999758800001,0.056399999486399996,8.8014001454,-35.812799756,3.7730000398,0.147200000656,9.6439999206,1.8883999914,0.020199999558,9.6290000338,1.8283999940000002,0.016658332499999998,75.29063,0.796912,-9.170794811,38.707820074,92262.8
2024-05-02 13:21:13,60180.0,2308068.0,205.0,2025.0,4938.0,101740.0,605.69,5756.445544554455,12.603960396039604,1.0,1.0,1.0,4740064.74,0.0,1909.91,1.095,-0.43,1.1800001,17.0,4.65,2.4499998,0.0,209.8,0.17,281.4,0.0167999996332,-0.0025999999428,-0.0095999997888,0.0702000002632,0.0033999998076000002,0.072800000108,8.603400162,-35.479400418,2.7096000196,0.1028000000676,9.6127999882,2.0051999784,0.027799999366,9.6087999928,1.9264000172000002,0.015056574999999999,73.84275,0.8125374,-9.170794357,38.707813471,92183.6
2024-05-02 13:21:14,60180.0,2309068.0,205.0,2025.0,4938.0,101740.0,604.5257731958762,5760.151515151515,13.151515151515152,1.0,1.0,1.0,4744682.202020202,0.0,1908.6060606060605,1.22,-0.48000002,1.3199999,17.0,4.65,1.7,0.0,210.34,0.25,280.3,0.005399999873600001,-0.0143999996784,0.0021999999524,0.0342000003468,0.0328000001492,0.0067999998064,8.969000139999999,-35.109599992,3.5658000184,0.0819999998656,9.676000004999999,1.7559999968,0.04259999922800001,9.643999938,1.7410000138000001,0.016017629999999998,69.81495,0.8594148,-9.170792853,38.707804134,92089.1
